Stock Name,Stock,ISIN,Allocated Quantity,Blocked for Trade,Block For Margin,Current Market Price,% Change,Market Value
ADANI POWER LIMITED,ADAPOW,INE814H01029,1500,0,0,211.31,1.12,316965
DHAMPUR BIO ORGANICS LIMITED,DHABIO,INE0I3401014,1400,0,0,97.88,-0.55,137032
D-LINK INDIA LIMITED,DLILIM,INE250K01012,1516,0,0,451.8,-0.04,684928.8
NIPPON INDIA ETF GOLD BEES,GOLDEX,INF204KB17I5,11900,0,0,117.11,-0.22,1393609
HDFC BANK LIMITED,HDFBAN,INE040A01034,134,0,0,748.15,-0.77,100252.1
HDFC SILVER ETF,HDFSIL,INF179KC1DI2,425,0,0,206.6,-0.04,87805
IDFC FIRST BANK LIMITED,IDFBAN,INE092T01019,10753,0,0,84.68,-0.09,910564.04
JIO FINANCIAL SERVICES LIMITED,JIOFIN,INE758E01017,450,0,0,256.46,3.85,115407
LANCER CONTAINER LINES LIMITED,LANCON,INE359U01028,3000,0,0,10.16,0.4,30480
PRAXIS HOME RETAIL LIMITED,PRAHOM,INE546Y01022,5000,0,0,6.13,-4.81,30650
SBI-ETF NIFTY 50,SBINIF,INF200KA1FS1,1436,0,0,262.43,0.44,376849.48
SBI  ETF SENSEX NEXT 50,SBIS50,INF200KA1VQ2,1289,0,0,959.98,1.19,1237414.22
SBI MUTUAL FUND SBI SENSEX ETF,SBISEN,INF200K01VT2,1362,0,0,869.21,0.34,1183864.02
S CHAND AND COMPANY LIMITED,SCHA,INE807K01035,850,0,0,142.74,-1.25,121329
SHEELA FOAM LIMITED,SHEFOA,INE916U01025,215,0,0,783.8,0.97,168517
VAIBHAV GLOBAL LIMITED,VAIGLO,INE884A01027,3360,0,0,266.36,1.05,894969.6
HOUSING DEVELOPMENT FIN  LTD 8,HDFND7/8HDFCLTD0732,INE040A08807,5,0,0,1001236,0.3,5006180
