Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,100,130.60,10.87,0.45,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,500,130.60,54.34,2.23,29.39,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,175,130.60,19.02,0.78,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,5,130.60,0.54,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,5,130.60,0.54,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,15,130.60,1.63,0.07,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,25,130.60,2.72,0.11,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,100,130.60,10.87,0.45,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,150,130.60,16.30,0.67,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,380,130.60,41.30,1.70,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,45,130.60,4.89,0.20,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,25,141.68,2.95,0.12,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,5,141.54,0.59,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,8,141.48,0.94,0.04,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.59,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,76,141.56,8.95,0.37,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,5,141.49,0.59,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.59,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.51,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,4,141.54,0.47,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.59,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.54,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,43,141.57,5.07,0.21,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,47,141.66,5.54,0.23,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,32,141.59,3.77,0.15,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,25,141.68,2.95,0.12,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,25,141.68,2.95,0.12,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,21,141.57,2.47,0.10,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.63,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,4,141.54,0.47,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.59,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.63,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.68,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.63,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.68,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,4,141.54,0.47,0.02,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.63,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,56,141.68,6.60,0.27,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,123,141.49,14.48,0.60,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,42,141.60,4.95,0.20,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.63,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,35,141.59,4.12,0.17,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.63,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,14,141.70,1.65,0.07,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,51,141.61,6.01,0.25,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,13,141.50,1.53,0.06,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.60,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.48,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.68,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.63,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,35,141.59,4.12,0.17,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,6,141.50,0.71,0.03,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
