Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %
ADAPOW,ADANI POWER LIMITED,INE814H01029,1500,130.75,211.31,1.12,196125,316965,0,120840,61.61
BURKIN,RESTAURANT BRANDS ASIA LIMITED,INE07T201019,450,116.37,66.64,-0.55,52366.5,29988,0,-22378.5,-42.73
COALIN,COAL INDIA LIMITED,INE522F01014,140,360.13,414.15,-0.73,50418.2,57981,0,7562.8,15
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,2100,118.81,97.88,-0.55,249501,205548,0,-43953,-17.62
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,8583,29.38,117.11,-0.22,252168.54,1005155.13,0,752986.59,298.6
HDFBAN,HDFC BANK LIMITED,INE040A01034,274,734,748.15,-0.77,201116,204993.1,0,3877.1,1.93
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,5045,86.13,88.43,0.25,434525.85,446129.35,0,11603.5,2.67
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,1000,73.93,206.6,-0.04,73930,206600,0,132670,179.45
ICIBAN,ICICI BANK LIMITED,INE090A01021,695,143.94,1435.4,0.1,100038.3,997603,549867.07,897564.7,897.22
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,9774,50.95,84.68,-0.09,497985.3,827662.32,0,329677.02,66.2
IRIBUS,IRIS REGTECH SOLUTIONS LIMITED,INE864K01010,450,323.16,248.2,2.75,145422,111690,0,-33732,-23.2
ITC,ITC LIMITED,INE154A01025,1044,210.12,281,-1.42,219365.28,293364,50956.42,73998.72,33.73
ITCHOT,ITC HOTELS LIMITED,INE379A01028,104,288.08,162.37,1.14,29960.32,16886.48,0,-13073.84,-43.64
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,4200,244.95,256.46,3.85,1028790,1077132,0,48342,4.7
LANCON,LANCER CONTAINER LINES LIMITED,INE359U01028,3000,16.97,10.16,0.4,50910,30480,0,-20430,-40.13
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,733,272.81,277.42,0.34,199969.73,203348.86,0,3379.13,1.69
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,135,731.73,795.65,1.44,98783.55,107412.75,0,8629.2,8.74
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,83,233.35,206.51,-0.06,19368.05,17140.33,0,-2227.72,-11.5
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,5000,19.97,6.13,-4.81,99850,30650,0,-69200,-69.3
RELIND,RELIANCE INDUSTRIES,INE002A01018,50,1294.06,1307.8,1.15,64703,65390,0,687,1.06
SBINIF,SBI-ETF NIFTY 50,INF200KA1FS1,269,111.54,262.43,0.44,30004.26,70593.67,0,40589.41,135.28
SBIS50,SBI  ETF SENSEX NEXT 50,INF200KA1VQ2,350,300.39,959.98,1.19,105136.5,335993,0,230856.5,219.58
SBISEN,SBI MUTUAL FUND SBI SENSEX ETF,INF200K01VT2,614,396.17,869.21,0.34,243248.38,533694.94,0,290446.56,119.4
SCHA,S CHAND AND COMPANY LIMITED,INE807K01035,1650,212.91,142.74,-1.25,351301.5,235521,0,-115780.5,-32.96
SHEFOA,SHEELA FOAM LIMITED,INE916U01025,215,929.14,783.8,0.97,199765.1,168517,0,-31248.1,-15.64
STAHEA,STAR HEALTH ALLIED INS CO LTD,INE575P01011,70,652.04,601,-1.54,45642.8,42070,0,-3572.8,-7.83
TATPOW,TATA POWER CO LTD,INE245A01021,961,106.01,380.7,1.26,101875.61,365852.7,76476.99,263977.09,259.12
