Stock Name,Stock,ISIN,Allocated Quantity,Blocked for Trade,Block For Margin,Current Market Price,% Change,Market Value
ADANI POWER LIMITED,ADAPOW,INE814H01029,1500,0,0,211.31,1.12,316965
RESTAURANT BRANDS ASIA LIMITED,BURKIN,INE07T201019,450,0,0,66.64,-0.55,29988
COAL INDIA LIMITED,COALIN,INE522F01014,339,0,0,414.15,-0.73,140396.85
DHAMPUR BIO ORGANICS LIMITED,DHABIO,INE0I3401014,2100,0,0,97.88,-0.55,205548
NIPPON INDIA ETF GOLD BEES,GOLDEX,INF204KB17I5,8583,0,0,117.11,-0.22,1005155.13
HDFC BANK LIMITED,HDFBAN,INE040A01034,274,0,0,748.15,-0.77,204993.1
HDFC BSE SENSEX  ETF,HDFSEN,INF179KC1HX2,5045,0,0,88.43,0.25,446129.35
HDFC SILVER ETF,HDFSIL,INF179KC1DI2,1000,0,0,206.6,-0.04,206600
ICICI BANK LIMITED,ICIBAN,INE090A01021,695,0,0,1435.4,0.1,997603
IDFC FIRST BANK LIMITED,IDFBAN,INE092T01019,9774,0,0,84.68,-0.09,827662.32
IRIS REGTECH SOLUTIONS LIMITED,IRIBUS,INE864K01010,450,0,0,248.2,2.75,111690
ITC LIMITED,ITC,INE154A01025,1044,0,0,281,-1.42,293364
ITC HOTELS LIMITED,ITCHOT,INE379A01028,104,0,0,162.37,1.14,16886.48
JIO FINANCIAL SERVICES LIMITED,JIOFIN,INE758E01017,4200,0,0,256.46,3.85,1077132
LANCER CONTAINER LINES LIMITED,LANCON,INE359U01028,3000,0,0,10.16,0.4,30480
NIPPON INDIA ETF NIFTY 50 BEES,NIFBEE,INF204KB14I2,733,0,0,277.42,0.34,203348.86
NIPPON IND ETF NIFNXT50 JR BEE,NIFJUN,INF732E01045,135,0,0,795.65,1.44,107412.75
NIPPON INDIA SILVER ETF,NIPSIL,INF204KC1402,83,0,0,206.51,-0.06,17140.33
PRAXIS HOME RETAIL LIMITED,PRAHOM,INE546Y01022,5000,0,0,6.13,-4.81,30650
RELIANCE INDUSTRIES,RELIND,INE002A01018,50,0,0,1307.8,1.15,65390
SBI-ETF NIFTY 50,SBINIF,INF200KA1FS1,269,0,0,262.43,0.44,70593.67
SBI  ETF SENSEX NEXT 50,SBIS50,INF200KA1VQ2,350,0,0,959.98,1.19,335993
SBI MUTUAL FUND SBI SENSEX ETF,SBISEN,INF200K01VT2,614,0,0,869.21,0.34,533694.94
S CHAND AND COMPANY LIMITED,SCHA,INE807K01035,1650,0,0,142.74,-1.25,235521
SHEELA FOAM LIMITED,SHEFOA,INE916U01025,215,0,0,783.8,0.97,168517
STAR HEALTH ALLIED INS CO LTD,STAHEA,INE575P01011,70,0,0,601,-1.54,42070
TATA POWER CO LTD,TATPOW,INE245A01021,961,0,0,380.7,1.26,365852.7
