Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,155,130.34,59.72,0.69,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,50,130.34,19.27,0.22,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,15,130.34,5.78,0.07,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,75,130.35,28.90,0.33,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,295,130.35,113.67,1.32,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,610,130.34,235.04,2.72,29.33,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,30,130.34,11.56,0.13,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
ADAPOW,ADANI POWER LIMITED,INE814H01029,Buy,270,130.34,104.03,1.20,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
BURKIN,RESTAURANT BRANDS ASIA LIMITED,INE07T201019,Buy,450,116.00,154.31,1.80,8.17,TT,STT Paid,icicidirect,01-Aug-2023,NSE,
COALIN,COAL INDIA LIMITED,INE522F01014,Buy,140,359.00,148.55,1.59,8.00,TT,STT Paid,icicidirect,27-Feb-2025,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,500,142.87,211.17,2.44,30.01,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,425,142.87,179.50,2.08,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,475,142.87,200.61,2.32,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,136,69.54,27.97,0.36,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,69.56,2.26,0.03,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,44,69.53,9.05,0.12,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,205,69.58,42.18,0.55,7.30,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,122,69.59,25.10,0.33,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,182,69.55,37.43,0.49,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
