"exchange","symbol","price","price_date"
"NSE","ADAPOW","211.31","2026-08-02"
"NSE","DHABIO","97.88","2026-08-02"
"NSE","DLILIM","451.8","2026-08-02"
"NSE","GOLDEX","117.11","2026-08-02"
"NSE","HDFBAN","748.15","2026-08-02"
"NSE","HDFSIL","206.6","2026-08-02"
"NSE","IDFBAN","84.68","2026-08-02"
"NSE","JIOFIN","256.46","2026-08-02"
"NSE","LANCON","10.16","2026-08-02"
"NSE","PRAHOM","6.13","2026-08-02"
"NSE","SBINIF","262.43","2026-08-02"
"NSE","SBIS50","959.98","2026-08-02"
"NSE","SBISEN","869.21","2026-08-02"
"NSE","SCHA","142.74","2026-08-02"
"NSE","SHEFOA","783.8","2026-08-02"
"NSE","VAIGLO","266.36","2026-08-02"
"NSE","HDFND7/8HDFCLTD0732","1001236","2026-08-02"
"NSE","BURKIN","66.64","2026-08-02"
"NSE","COALIN","414.15","2026-08-02"
"NSE","HDFSEN","88.43","2026-08-02"
"NSE","ICIBAN","1435.4","2026-08-02"
"NSE","IRIBUS","248.2","2026-08-02"
"NSE","ITC","281","2026-08-02"
"NSE","ITCHOT","162.37","2026-08-02"
"NSE","NIFBEE","277.42","2026-08-02"
"NSE","NIFJUN","795.65","2026-08-02"
"NSE","NIPSIL","206.51","2026-08-02"
"NSE","RELIND","1307.8","2026-08-02"
"NSE","STAHEA","601","2026-08-02"
"NSE","TATPOW","380.7","2026-08-02"
